Signals-> 0 1 2 3 4 5    6    7    8   9   10  11  12  13   14 15 16 17 18 19 20    21 22 23 24 25 

sample

-4        0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-3        0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-2        0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
-1        0 0 0 0 0 000h 000h 000h 00h 00h 00h 00h 00h 000h 0  0  0  0  0h 0  0000h 0  0  0  0  0  
0         1 0 0 0 1 000h 000h 0F0h 04h 00h 00h 04h 02h 000h 0  1  0  0  4h 1  0000h 1  0  0  0  0  
1         0 0 1 0 1 000h 000h 0F0h 04h 00h 00h 04h 02h 000h 0  1  0  0  5h 1  0000h 0  1  0  0  0  
2         0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
3         0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
4         0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
5         0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
6         0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
7         0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
8         0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
9         0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
10        0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
11        0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
12        0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
13        0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
14        0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
15        0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
16        0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
17        0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
18        0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
19        0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
20        0 0 1 0 0 000h 000h 0F0h 00h 00h 00h 00h 00h 000h 0  0  0  1  0h 0  0000h 0  1  0  0  0  
21        0 0 1 0 0 001h 001h 0F0h 00h 00h 00h 00h 00h 001h 0  0  0  1  0h 0  4A8Eh 0  1  0  0  0  
22        0 0 1 0 0 002h 002h 0F0h 00h 00h 00h 00h 00h 002h 0  0  0  1  0h 0  4A8Eh 0  1  0  0  0  
23        0 0 1 0 0 003h 003h 0F0h 00h 00h 00h 00h 00h 003h 0  0  0  1  0h 0  4A8Eh 0  1  0  0  0  
24        0 0 1 0 0 004h 004h 0F0h 00h 00h 00h 00h 00h 004h 0  0  0  1  0h 0  4A8Dh 0  1  0  0  0  
